Start time|End time|Protocol|Source IP|Destination IP|Source Port|Destination Port|Byte size|Packet count|Attack 
1568918367627729|1568918427575912|17|173.91.13.248|4040|200.19.107.238|19|20358|702|True
1568918367593825|1568918427541551|17|173.91.13.248|4040|200.19.107.255|19|20474|706|True
1568918367293463|1568918427291202|17|173.91.13.248|23516|200.19.107.238|19|19401|669|True
1568918367176333|1568918427166631|17|173.91.13.248|23516|200.19.107.255|19|19430|670|True
1568918328028609|1568918387985434|17|86.2.41.130|64340|200.19.107.238|19|19604|676|True
1568918328000500|1568918387961962|17|86.2.41.130|64340|200.19.107.255|19|19575|675|True
1568918327928673|1568918387852748|17|86.2.41.130|5642|200.19.107.238|19|20300|700|True
1568918327906662|1568918387899785|17|86.2.41.130|5642|200.19.107.255|19|20387|703|True
1568918307583254|1568918367538823|17|173.91.13.248|4040|200.19.107.238|19|20184|696|True
1568918307552143|1568918367509261|17|173.91.13.248|4040|200.19.107.255|19|20271|699|True
1568918307262754|1568918367202566|17|173.91.13.248|23516|200.19.107.238|19|19430|670|True
1568918307144794|1568918367085420|17|173.91.13.248|23516|200.19.107.255|19|19459|671|True
1568918267947762|1568918327941455|17|86.2.41.130|64340|200.19.107.238|19|19517|673|True
1568918267923086|1568918327909613|17|86.2.41.130|64340|200.19.107.255|19|19546|674|True
1568918267875108|1568918327844487|17|86.2.41.130|5642|200.19.107.238|19|20184|696|True
1568918267851369|1568918327822265|17|86.2.41.130|5642|200.19.107.255|19|20184|696|True
1568918247518460|1568918307494210|17|173.91.13.248|4040|200.19.107.238|19|20097|693|True
1568918247484156|1568918307467266|17|173.91.13.248|4040|200.19.107.255|19|20126|694|True
1568918247262082|1568918307175980|17|173.91.13.248|23516|200.19.107.238|19|19430|670|True
1568918247138372|1568918307054032|17|173.91.13.248|23516|200.19.107.255|19|19459|671|True
1568918207898309|1568918267856896|17|86.2.41.130|64340|200.19.107.238|19|19517|673|True
1568918207873621|1568918267831720|17|86.2.41.130|64340|200.19.107.255|19|19488|672|True
1568918207867863|1568918267786781|17|86.2.41.130|5642|200.19.107.238|19|20039|691|True
1568918207838984|1568918267777243|17|86.2.41.130|5642|200.19.107.255|19|20068|692|True
1568918187458165|1568918247432601|17|173.91.13.248|4040|200.19.107.238|19|19981|689|True
